window_start,window_end,datetime,elapsed_seconds,request_count,success_count,failure_count,throughput_rps,success_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
1766871008.4661674,1766871009.4661674,2025-12-27T23:30:08.466167,0,30,30,0,30.0,1.0,1.2155930201212566,1.0094642639160156,1.7604827880859375,1.857757568359375
1766871009.4661674,1766871010.4661674,2025-12-27T23:30:09.466167,1,29,29,0,29.0,1.0,1.4216653231916756,1.4503002166748047,2.0918846130371094,2.1660327911376953
1766871010.4661674,1766871011.4661674,2025-12-27T23:30:10.466167,2,30,30,0,30.0,1.0,1.3409217198689778,1.4121532440185547,2.0203590393066406,2.166748046875
1766871011.4661674,1766871012.4661674,2025-12-27T23:30:11.466167,3,29,29,0,29.0,1.0,1.3184547424316406,1.508951187133789,1.7642974853515625,2.3708343505859375
1766871012.4661674,1766871013.4661674,2025-12-27T23:30:12.466167,4,29,29,0,29.0,1.0,1.2777344933871566,1.1110305786132812,2.0067691802978516,2.148151397705078
1766871013.4661674,1766871014.4661674,2025-12-27T23:30:13.466167,5,30,30,0,30.0,1.0,1.3588746388753254,1.5101432800292969,2.0055770874023438,2.00653076171875
1766871014.4661674,1766871015.4661674,2025-12-27T23:30:14.466167,6,29,29,0,29.0,1.0,1.4487546065758015,1.5137195587158203,2.0079612731933594,2.137422561645508
1766871015.4661674,1766871016.4661674,2025-12-27T23:30:15.466167,7,29,29,0,29.0,1.0,1.3357853067332301,1.5099048614501953,2.011537551879883,2.5184154510498047
1766871016.4661674,1766871017.4661674,2025-12-27T23:30:16.466167,8,30,30,0,30.0,1.0,1.3005733489990234,1.5099048614501953,1.817464828491211,2.006053924560547
1766871017.4661674,1766871018.4661674,2025-12-27T23:30:17.466167,9,29,29,0,29.0,1.0,1.4227012108112205,1.5106201171875,2.00653076171875,3.008127212524414
1766871018.4661674,1766871019.4661674,2025-12-27T23:30:18.466167,10,29,29,0,29.0,1.0,1.272867465841359,1.0094642639160156,1.6155242919921875,2.0074844360351562
1766871019.4661674,1766871020.4661674,2025-12-27T23:30:19.466167,11,30,30,0,30.0,1.0,1.2857993443806965,1.508951187133789,1.630544662475586,2.0151138305664062
1766871020.4661674,1766871021.4661674,2025-12-27T23:30:20.466167,12,29,29,0,29.0,1.0,1.3805915569436962,1.5101432800292969,2.0055770874023438,2.0072460174560547
1766871021.4661674,1766871022.4661674,2025-12-27T23:30:21.466167,13,29,29,0,29.0,1.0,1.306459821503738,1.5099048614501953,2.00653076171875,2.0275115966796875
1766871022.4661674,1766871023.4661674,2025-12-27T23:30:22.466167,14,29,29,0,29.0,1.0,1.3097647962899044,1.5094280242919922,2.010822296142578,2.5107860565185547
1766871023.4661674,1766871024.4661674,2025-12-27T23:30:23.466167,15,30,30,0,30.0,1.0,1.4562606811523438,1.5096664428710938,2.180337905883789,4.541635513305664
1766871024.4661674,1766871025.4661674,2025-12-27T23:30:24.466167,16,29,29,0,29.0,1.0,1.3315019936397159,1.5096664428710938,1.7888545989990234,2.0084381103515625
1766871025.4661674,1766871026.4661674,2025-12-27T23:30:25.466167,17,29,29,0,29.0,1.0,1.3934086109029835,1.5087127685546875,2.0117759704589844,2.2630691528320312
